DEP;P12_HNSCOL15P_DIPL0;P12_FNSCOL15P_DIPL0
01; 64,0; 45,0
01; 13,859531773; 11,879598662
01; 82,461522829; 84,497609813
01; 155,640231159; 166,345205328
01; 27,630573248; 23,537154989
01; 42,279648027; 53,352889177
01; 12,183098592; 10,964788732
01; 84,0; 134,0
01; 116,0; 153,0
01; 64,074948783; 57,905140207
01; 11,0; 14,0
01; 30,620384047; 23,47562777
01; 21,704414587; 19,731285988
01; 99,931730769; 111,804807692
01; 36,755725191; 39,81870229
01; 55,861500412; 65,002473207
01; 59,0; 70,0
01; 7,0; 4,0
01; 47,349519474; 56,613555893
01; 50,999786113; 38,000406804
01; 106,466780239; 80,95911414
01; 4,0; 7,0
01; 82,715519307; 57,327087812
01; 13,75147929; 21,609467456
01; 58,102024366; 70,690796312
01; 18,589337176; 17,610951009
01; 9,923076923; 0,992307692
01; 7,875776398; 4,922360248
01; 24,0; 21,0
01; 30,0; 30,0
01; 4,054054054; 5,067567568
01; 9,757009346; 8,672897196
01; 35,359541319; 46,467390183
01; 93,582125809; 78,316419728
01; 9,207170702; 9,207170702
01; 33,0; 30,0
01; 165,123265607; 186,121599962
01; 95,130612527; 118,931454744
01; 35,736338798; 32,838797814
01; 46,612428128; 40,519171051
01; 39,0; 27,0
01; 46,270011947; 43,31660693
01; 13,0; 10,0
01; 116,952935329; 74,731956262
01; 154,29519774; 141,688559322
01; 307,166384181; 297,958474576
01; 2,345864662; 1,563909774
01; 13,645305514; 20,467958271
01; 18,034548944; 26,049904031
01; 47,407407407; 40,49382716
01; 10,872586873; 4,942084942
01; 38,163885278; 44,453802252
01; 13,375314861; 14,267002519
01; 78,017050691; 79,992165899
01; 18,034026465; 15,028355388
01; 17,146341463; 10,829268293
01; 1,0; 5,0
01; 45,0; 28,0
01; 19,894736842; 14,921052632
01; 215,182911933; 243,161715513
01; 66,769363167; 65,772805508
01; 19,397590361; 14,548192771
01; 67,377902885; 54,496833216
01; 63,855944274; 68,843281439
01; 9,282051282; 14,438746439
01; 22,694690265; 16,774336283
01; 131,960736919; 118,779256719
01; 52,0; 52,0
01; 226,0; 214,0
01; 79,890569267; 85,035937876
01; 44,895776398; 44,880396913
01; 55,872183903; 63,542544836
01; 1,042253521; 2,084507042
01; 175,544749394; 200,61903817
02; 46,007999664; 52,12303366
02; 43,848684211; 53,026315789
02; 66,800808898; 78,946410516
02; 15,61352657; 15,61352657
02; 18,0; 26,0
02; 22,4765625; 29,96875
02; 8,0; 7,0
02; 24,750830565; 21,780730897
02; 32,438563327; 20,642722117
02; 13,0; 9,0
02; 61,108466709; 60,106688566
02; 9,154929577; 6,408450704
02; 41,198547215; 30,14527845
02; 33,763953895; 37,890359714
02; 8,103896104; 5,064935065
02; 11,747706422; 5,422018349
02; 11,184563758; 19,318791946
02; 153,53250483; 185,12528754
02; 29,075129534; 33,085492228
02; 28,451680672; 45,130252101
02; 0,988235294; 4,941176471
02; 31,0; 37,0
02; 4,861111111; 3,888888889
02; 3,056603774; 2,037735849
02; 15,0; 19,0
02; 17,088082902; 18,093264249
02; 37,230769231; 37,230769231
02; 146,952797347; 191,239941753
02; 21,168900804; 23,184986595
02; 14,0; 20,0
02; 89,987951807; 70,55873494
02; 33,0; 28,0
02; 3,083333333; 9,25
02; 6,0; 7,0
02; 16,942865252; 20,928578937
02; 6,206896552; 14,482758621
02; 56,336965352; 69,858010157
02; 8,108108108; 5,067567568
02; 10,0; 18,0
02; 10,169491525; 10,169491525
02; 45,0; 53,0
02; 28,283535277; 31,313914057
02; 11,154929577; 11,154929577
02; 3,214285714; 2,142857143
02; 33,652877698; 34,672661871
02; 12,183206107; 9,13740458
02; 6,0; 4,0
02; 52,641407307; 56,614343708
02; 23,300653595; 38,496732026
02; 11,095026235; 27,110272841
02; 10,692307692; 12,636363636
02; 12,0; 19,0
02; 23,396551724; 33,568965517
02; 7,919191919; 6,929292929
02; 10,0; 10,0
02; 169,0; 183,0
02; 57,0; 57,0
02; 303,0; 375,0
02; 26,809859155; 22,838028169
02; 32,0; 15,0
02; 6,0; 13,0
02; 19,04973822; 35,091623037
02; 330,897359845; 539,27699157
02; 48,768503937; 64,692913386
02; 5,047393365; 3,028436019
02; 15,068181818; 18,081818182
02; 6,740173376; 5,777291465
02; 15,247933884; 16,26446281
02; 30,120015379; 37,892922574
02; 46,665594855; 41,593247588
02; 8,132596685; 13,215469613
02; 53,264051294; 63,329568465
02; 25,747572816; 20,796116505
02; 8,157635468; 8,157635468
02; 8,691428571; 5,794285714
02; 32,0; 20,0
02; 12,077419355; 12,077419355
02; 8,0; 3,0
02; 18,299168975; 17,282548476
02; 42,0; 40,0
02; 14,0; 9,0
02; 59,0; 51,0
02; 12,0; 9,0
02; 58,932806324; 48,128458498
02; 57,187624699; 58,187810724
